name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,skew,kurtosis
150-Drôme_,0.13020453114188768,0.0,19.587722238541655,0.0,25.530052048823137,0.0,0.1776644019354677,0.34150224383884475,0.607666658309725,0.13020453114188768,-0.6131337226823003,1.5036552539346353
100-Essonne_,0.1302690690933782,0.0,20.6084268072227,0.0,25.925275269532598,0.0,0.15851831818087253,0.30977593775355233,0.5662512742630079,0.1302690690933782,-0.36665663034119766,0.27925347755393615
450-Charente-Maritime_,0.13081658250352213,0.0,24.24357896853466,0.0,30.414223954780308,0.0,0.13636561511449052,0.2643874974606031,0.4922439562353078,0.13081658250352213,-0.5866105432323189,0.48985085434203723
450-Hérault_,0.13121442949234297,0.0,21.32943465015573,0.0,27.531476339234583,0.0,0.15421347454773637,0.3059659003948697,0.5723162631240626,0.13121442949234297,-0.38094426255011465,1.2835035232181715
100-Drôme_,0.13191651798165804,0.0,19.452040796989778,0.0,25.504914736279893,0.0,0.18195151302429363,0.3474816356206283,0.6183092235565473,0.13191651798165804,-0.6498892053994545,1.6100217480446588
100-Yvelines_,0.13379069360801987,0.0,20.51244366050911,0.0,26.616499270320688,0.0,0.1751519302479806,0.33845384473217877,0.5919028516138851,0.13379069360801987,-0.22750478749783012,0.3859084103064645
250-Vaucluse_,0.1342368256303298,0.0,20.879525517593276,0.0,26.975164298849393,0.0,0.1642244537344309,0.3220919708658363,0.5816166013015558,0.1342368256303298,-0.4941001442668311,0.8472086080222332
200-Vendée_,0.1404087802896289,0.0,22.10397233531002,0.0,28.029981137085116,0.0,0.15050354202565575,0.29154125981236834,0.5390235496840896,0.1404087802896289,-0.6056603647838285,1.2345646386213334
350-Yvelines_,0.1418949633411838,0.0,20.229103991882756,0.0,26.491694444112373,0.0,0.18796951610623702,0.3547829490231891,0.6000565321852951,0.1418949633411838,-0.3520477489326022,0.38046249090802853
300-Yvelines_,0.14497491863566647,0.0,20.180006176996955,0.0,26.444109021912038,0.0,0.18640400943652632,0.3533370296685257,0.602600480523575,0.14497491863566647,-0.22312238303556423,0.5323107982023587
400-Rhône_,0.1464023861463667,0.0,19.93146866833557,0.0,25.923700721996436,0.0,0.17482302509670644,0.3395270991486419,0.6051132724773072,0.1464023861463667,-0.4772649610847414,0.891754128520204
200-Yvelines_,0.14649006260994446,0.0,20.321692514418,0.0,26.42066854101916,0.0,0.17255362403922464,0.33749714621180005,0.6009480012611026,0.14649006260994446,-0.12185935780779297,0.43161514808993395
250-Dordogne_,0.14650012583869354,0.0,22.109148800204125,0.0,28.430426365810536,0.0,0.16000675321444122,0.3083730973262602,0.5484320990945362,0.14650012583869354,-0.4827635031303599,0.505623285333189
300-Landes_,0.14738837811219185,0.0,21.53051866011976,0.0,27.313104375463755,0.0,0.14864380780924213,0.2941279128509888,0.5503761332218865,0.14738837811219185,-0.6828106882831269,0.4295144348995388
400-Landes_,0.1479201838211459,0.0,21.454335922565107,0.0,27.304584945187784,0.0,0.15266691772832067,0.29965739269410585,0.5544176135058922,0.1479201838211459,-0.600966897393496,0.6012041120184515
400-Dordogne_,0.1485913540549566,0.0,21.962001563633287,0.0,28.39557517551577,0.0,0.16367659211473357,0.31050569136032846,0.5510534125947449,0.1485913540549566,-0.6818853277428895,0.5612709643595384
50-Ain_,0.14985005618072833,0.0,20.063424653002382,0.0,26.71967399380403,0.0,0.17960557207700736,0.35451557364219755,0.6240315385819377,0.14985005618072833,-0.6215275078943101,1.3977042188442388
450-Moselle_,0.15043954065690857,0.0,21.464094829198523,0.0,27.429114032608105,0.0,0.16512650246165025,0.31620271743389883,0.5550932292149081,0.15043954065690857,-0.06885039028564599,0.2110987901096153
200-Landes_,0.1507275370525173,0.0,21.269088106431937,0.0,27.259567532884752,0.0,0.15998750815184945,0.3066289461840159,0.5629139072847682,0.1507275370525173,-0.673193454248641,0.6565523765133521
400-Essonne_,0.1512535738451285,0.0,19.946172532295822,0.0,25.610608535237112,0.0,0.1786360704849481,0.34160650758316513,0.5878773378825389,0.1512535738451285,-0.49914404779033295,0.45255297259136684
50-Aude_,0.15155809843478352,0.0,20.518826649553535,0.0,26.820630865832822,0.0,0.17539112143389282,0.33977168149349224,0.6032911170515798,0.15155809843478352,-0.40976127237739185,0.8653883554000146
300-Tarn_,0.15199408505749046,0.0,22.576494927298132,0.0,28.770541838143355,0.0,0.14547757169703407,0.2842280142713185,0.5381294768091076,0.15199408505749046,-0.2615887484330238,0.6203389805068618
250-Alpes-Maritimes_,0.15305784824593294,0.0,22.91388712102212,0.0,28.88820564462313,0.0,0.1403563451249286,0.2765155056880162,0.5195989818710716,0.15305784824593294,-0.18180921725131372,0.05377978971791908
250-Morbihan_,0.15314148256059112,0.0,22.334836546806997,0.0,28.123681497643542,0.0,0.16017950993420116,0.29889507589168707,0.5186889889231703,0.15314148256059112,-0.5302662804925057,0.48014740320357463
400-Moselle_,0.1534915357624036,0.0,21.638266033588913,0.0,27.37980097892297,0.0,0.15788761194986925,0.3065769880230561,0.544776385257173,0.1534915357624036,-0.1466982303085904,0.1353914017243838
150-Gard_,0.15427889352631652,0.0,19.612564540108366,0.0,25.879385167912357,0.0,0.1785864841456591,0.34999118564563225,0.6220864726486751,0.15427889352631652,-0.44096157504850064,1.2570455306779609
250-Ain_,0.15536413931813686,0.0,20.273525995722324,0.0,26.632880960318264,0.0,0.17138832368132728,0.33234856785099387,0.6115980591641884,0.15536413931813686,-0.7318870822127129,1.3530289509813427
200-Alpes-Maritimes_,0.15560193399296496,0.0,22.914190918907217,0.0,28.844785119150632,0.0,0.1439509635863072,0.2804425744117189,0.5166484857929459,0.15560193399296496,-0.31290130487188395,-0.046918443497704576
350-Isère_,0.15566492776980956,0.0,20.197152780209183,0.0,25.969791888958234,0.0,0.16826874108779794,0.32569005907516807,0.5905607048278672,0.15566492776980956,-0.6555494962247672,1.0260224483978488
200-Essonne_,0.15639327552473592,0.0,20.133321150004893,0.0,25.532946487666578,0.0,0.164655584912726,0.3211870930159985,0.5816464518276572,0.15639327552473592,-0.32203105117472747,0.3172429438680995
350-Alpes-Maritimes_,0.15686048971332678,0.0,23.081447131094652,0.0,28.823280861872338,0.0,0.13624227312866863,0.26786140979689366,0.5089397953353072,0.15686048971332678,-0.24034381810046185,-0.10094391168123318
150-Dordogne_,0.15717532707451254,0.0,22.03232888163006,0.0,28.252069270282696,0.0,0.16310790037231537,0.31144758705870856,0.5455708687654947,0.15717532707451254,-0.5860942445888111,0.47007481331320156
200-Ain_,0.15724827979559508,0.0,20.1751009083854,0.0,26.60315921453974,0.0,0.17780560338081078,0.34197448740021913,0.6103361245891377,0.15724827979559508,-0.780020707229565,1.3736947255674163
250-Yvelines_,0.15811078864323203,0.0,20.003072655600253,0.0,26.24019050907063,0.0,0.18879575573747323,0.3562179968037572,0.604742180620332,0.15811078864323203,-0.3040561609229239,0.5511032872037367
300-Alpes-Maritimes_,0.15816765332348115,0.0,22.94600746060067,0.0,28.800929069672293,0.0,0.13707339878447872,0.26936782504804946,0.5152355721780687,0.15816765332348115,-0.2447276599534608,-0.0048433183860296936
450-Haut-Rhin_,0.158959743294382,0.0,22.363270144718737,0.0,27.704502298977967,0.0,0.1403096742606221,0.2735736470876238,0.5121559387383529,0.158959743294382,-0.27212996848194426,-0.009557287996281527
150-Hérault_,0.15896942801138703,0.0,21.290015508598078,0.0,27.088134201396514,0.0,0.15273194771802015,0.3025987939636965,0.5623618721111758,0.15896942801138703,-0.7565696328995214,1.2811434233568342
400-Morbihan_,0.15927570187277662,0.0,22.3082139743224,0.0,28.021639438895658,0.0,0.1546020112101747,0.29266464656682656,0.5201879704433952,0.15927570187277662,-0.49925743391718647,0.5120684135314417
50-Seine-et-Marne_,0.1598880387634405,0.0,21.49897205875028,0.0,27.53548941035204,0.0,0.17026475862311452,0.319497673546406,0.5506252710289137,0.1598880387634405,-0.38375836242051425,0.598485604009269
50-Drôme_,0.16029887169876555,0.0,19.049968047245677,0.0,25.08450284825576,0.0,0.18618848246295785,0.3565948805375185,0.627171760222629,0.16029887169876555,-0.6338968319458946,1.5501849468831717
450-Isère_,0.1603270745826476,0.0,20.07240442667262,0.0,25.897994220127394,0.0,0.16148273579140354,0.32070559177021796,0.6020829089427582,0.1603270745826476,-0.6363192001399435,1.0599041077333444
400-Oise_,0.1612453023936461,0.0,22.963411693523643,0.0,29.231656539140943,0.0,0.15885471187746522,0.300717689325104,0.5193658875647972,0.1612453023936461,-0.23536003175455256,0.24312478800186232
300-Drôme_,0.16356379279938327,0.0,18.679231137227806,0.0,25.035688642366885,0.0,0.2147942938802116,0.3861784541329255,0.6379898212450172,0.16356379279938327,-0.6460539311120834,1.813581497358821
200-Tarn_,0.1673805187842552,0.0,22.733953686702304,0.0,28.508337023266595,0.0,0.14408856932755945,0.27603017675736036,0.515210937712776,0.1673805187842552,-0.4979098281028365,0.6083202257079399
200-Rhône_,0.1687628684855801,0.0,19.659878232979175,0.0,25.58190432530519,0.0,0.17823016557507237,0.3445481482746548,0.6108259967380258,0.1687628684855801,-0.6365218592752282,0.9722786547063218
50-Var_,0.16895282990984395,0.0,19.40848479365176,0.0,25.10723596855919,0.0,0.17668663568669168,0.34036728066737587,0.6084429763171155,0.16895282990984395,-0.7161524453183588,1.2611926602003276
