Country,Region,BuildingType,Age
Norway,National,SFH,1991-2000
Norway,National,SFH,2001-2010
Norway,National,SFH,2011+
Norway,National,TH,<1955
Norway,National,TH,1956-1970
Norway,National,TH,1971-1980
Norway,National,TH,1981-1990
Norway,National,TH,1991-2000
Norway,National,TH,2001-2010
Norway,National,TH,2011+
Norway,National,AB,<1955
Norway,National,AB,1956-1970
Norway,National,AB,1971-1980
Norway,National,AB,1981-1990
Norway,National,AB,1991-2000
Norway,National,AB,2001-2010
Norway,National,AB,2011+
Poland,National,SFH,<1946
Poland,National,SFH,1946-1966
Poland,National,SFH,1967-1985
Poland,National,SFH,1986-1992
Poland,National,SFH,1993-2002
Poland,National,SFH,2003-2008
Poland,National,SFH,2009+
Poland,National,TH,<1946
Poland,National,TH,1946-1966
Poland,National,TH,1967-1985
Poland,National,TH,1986-1992
Poland,National,TH,1993-2002
Poland,National,TH,2003-2008
Poland,National,TH,2009+
Poland,National,MFH,<1946
Poland,National,MFH,1946-1966
Poland,National,MFH,1967-1985
Poland,National,MFH,1986-1992
Poland,National,MFH,1993-2002
Poland,National,MFH,2003-2008
Poland,National,MFH,2009+
Poland,National,AB,<1946
Poland,National,AB,1946-1966
Poland,National,AB,1967-1985
Poland,National,AB,1986-1992
Poland,National,AB,1993-2002
Poland,National,AB,2003-2008
Poland,National,AB,2009+
Serbia,National,SFH,<1919
Serbia,National,SFH,1919-1945
Serbia,National,SFH,1946-1960
Serbia,National,SFH,1961-1970
Serbia,National,SFH,1971-1980
Serbia,National,SFH,1981-1990
Serbia,National,SFH,1991-2011
Serbia,National,SFH,2012+
Serbia,National,TH,<1919
Serbia,National,TH,1919-1945
Serbia,National,TH,1946-1960
Serbia,National,TH,1961-1970
Serbia,National,TH,1971-1980
Serbia,National,TH,1981-1990
Serbia,National,TH,1991-2011
Serbia,National,TH,2012+
Serbia,National,MFH,<1919
Serbia,National,MFH,1919-1945
Serbia,National,MFH,1946-1960
Serbia,National,MFH,1961-1970
Serbia,National,MFH,1971-1980
Serbia,National,MFH,1981-1990
Serbia,National,MFH,1991-2011
Serbia,National,MFH,2012+
Serbia,National,AB,<1919
Serbia,National,AB,1919-1945
Serbia,National,AB,1946-1960
Serbia,National,AB,1961-1970
Serbia,National,AB,1971-1980
Serbia,National,AB,1981-1990
Serbia,National,AB,1991-2011
Serbia,National,AB,2012+
Sweden,National,SFH,<1960
